Question,Answer
Restart Application Server,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Application Server. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart app.service)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Application Server' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Abhay Desai"", ""Email"": ""abhay.desai@example.com"", ""Phone"": ""+91-9000000001""}, ""Escalation"": {""Name"": ""Rohan Mehta"", ""Email"": ""rohan.mehta@example.com"", ""Phone"": ""+91-9100000001""}}}"
Deploy Web Application,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Deploy Web Application. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., jenkins-cli build Deploy-Web-App)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Deploy Web Application' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Noah Bose"", ""Email"": ""noah.bose@example.com"", ""Phone"": ""+91-9000000002""}, ""Escalation"": {""Name"": ""Sophia Gupta"", ""Email"": ""sophia.gupta@example.com"", ""Phone"": ""+91-9100000002""}}}"
Clear Application Cache,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Clear Application Cache. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., appctl cache clear)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Clear Application Cache' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Rakesh Iyer"", ""Email"": ""rakesh.iyer@example.com"", ""Phone"": ""+91-9000000003""}, ""Escalation"": {""Name"": ""Rakesh Patel"", ""Email"": ""rakesh.patel@example.com"", ""Phone"": ""+91-9100000003""}}}"
Backup Database,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Backup Database. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., pg_dump -U admin -F c -f backup.dump)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Backup Database' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Vihaan Singh"", ""Email"": ""vihaan.singh@example.com"", ""Phone"": ""+91-9000000004""}, ""Escalation"": {""Name"": ""Riya Nair"", ""Email"": ""riya.nair@example.com"", ""Phone"": ""+91-9100000004""}}}"
Restore Database,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restore Database. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., pg_restore -U admin -d appdb backup.dump)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restore Database' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Riya Bose"", ""Email"": ""riya.bose@example.com"", ""Phone"": ""+91-9000000005""}, ""Escalation"": {""Name"": ""Abhay Patel"", ""Email"": ""abhay.patel@example.com"", ""Phone"": ""+91-9100000005""}}}"
Rotate Logs,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Rotate Logs. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., logrotate -f /etc/logrotate.conf)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Rotate Logs' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Michael Brown"", ""Email"": ""michael.brown@example.com"", ""Phone"": ""+91-9000000006""}, ""Escalation"": {""Name"": ""Sara Kumar"", ""Email"": ""sara.kumar@example.com"", ""Phone"": ""+91-9100000006""}}}"
Scale Kubernetes Deployment,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Scale Kubernetes Deployment. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., kubectl scale deploy web --replicas=5)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Scale Kubernetes Deployment' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Liam Johnson"", ""Email"": ""liam.johnson@example.com"", ""Phone"": ""+91-9000000007""}, ""Escalation"": {""Name"": ""Kabir Desai"", ""Email"": ""kabir.desai@example.com"", ""Phone"": ""+91-9100000007""}}}"
Update SSL Certificate,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Update SSL Certificate. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., certbot renew --quiet)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Update SSL Certificate' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Vikram Sharma"", ""Email"": ""vikram.sharma@example.com"", ""Phone"": ""+91-9000000008""}, ""Escalation"": {""Name"": ""Amit Martinez"", ""Email"": ""amit.martinez@example.com"", ""Phone"": ""+91-9100000008""}}}"
Restart Nginx,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Nginx. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart nginx)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Nginx' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Noah Gupta"", ""Email"": ""noah.gupta@example.com"", ""Phone"": ""+91-9000000009""}, ""Escalation"": {""Name"": ""Riya Mehta"", ""Email"": ""riya.mehta@example.com"", ""Phone"": ""+91-9100000009""}}}"
Restart Apache HTTPD,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Apache HTTPD. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart httpd)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Apache HTTPD' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Vihaan Patel"", ""Email"": ""vihaan.patel@example.com"", ""Phone"": ""+91-9000000010""}, ""Escalation"": {""Name"": ""Anika Mehta"", ""Email"": ""anika.mehta@example.com"", ""Phone"": ""+91-9100000010""}}}"
